iter	Passed	Remaining
732	1052	383
733	1054	381
734	1055	380
735	1057	379
736	1058	377
737	1059	376
738	1061	374
739	1062	373
740	1063	371
741	1065	370
742	1066	369
743	1068	367
744	1069	366
745	1071	364
746	1072	363
747	1073	361
748	1075	360
749	1076	358
750	1078	357
751	1080	356
752	1081	354
753	1083	353
754	1084	351
755	1085	350
756	1086	348
757	1088	347
758	1089	346
759	1091	344
760	1092	343
761	1093	341
762	1095	340
763	1096	338
764	1098	337
765	1099	335
766	1101	334
767	1102	333
768	1104	331
769	1105	330
770	1107	328
771	1108	327
772	1110	325
773	1111	324
774	1112	323
775	1114	321
776	1115	320
777	1117	318
778	1118	317
779	1119	315
780	1121	314
781	1122	313
782	1124	311
783	1125	310
784	1127	308
785	1128	307
786	1130	306
787	1132	304
788	1133	303
789	1135	301
790	1137	300
791	1138	299
792	1141	297
793	1144	296
794	1146	295
795	1147	294
796	1149	292
797	1150	291
798	1151	289
799	1152	288
800	1154	286
801	1155	285
802	1157	283
803	1158	282
804	1159	280
805	1161	279
806	1162	278
807	1164	276
808	1166	275
809	1167	273
810	1169	272
811	1170	270
812	1171	269
813	1173	268
814	1174	266
815	1176	265
816	1177	263
817	1179	262
818	1180	260
819	1182	259
820	1183	258
821	1185	256
822	1186	255
823	1187	253
824	1189	252
825	1190	250
826	1192	249
827	1193	247
828	1195	246
829	1196	245
830	1197	243
831	1198	242
832	1200	240
833	1201	239
834	1202	237
835	1204	236
836	1205	234
837	1206	233
838	1208	231
839	1209	230
840	1211	228
841	1212	227
842	1213	226
843	1215	224
844	1216	223
845	1218	221
846	1219	220
847	1220	218
848	1221	217
849	1223	215
850	1224	214
851	1226	213
852	1227	211
853	1229	210
854	1230	208
855	1231	207
856	1233	205
857	1234	204
858	1236	202
859	1237	201
860	1238	199
861	1240	198
862	1241	197
863	1243	195
864	1244	194
865	1246	192
866	1247	191
867	1249	189
868	1250	188
869	1252	187
870	1253	185
871	1255	184
872	1256	182
873	1258	181
874	1259	179
875	1261	178
876	1263	177
877	1264	175
878	1266	174
879	1267	172
880	1268	171
881	1270	169
882	1271	168
883	1273	167
884	1274	165
885	1275	164
886	1277	162
887	1278	161
888	1279	159
889	1281	158
890	1283	156
891	1284	155
892	1286	154
893	1288	152
894	1289	151
895	1291	149
896	1292	148
897	1294	147
898	1295	145
899	1297	144
900	1297	142
901	1298	141
902	1300	139
903	1301	138
904	1303	136
905	1304	135
906	1306	133
907	1307	132
908	1308	131
909	1310	129
910	1311	128
911	1313	126
912	1314	125
913	1315	123
914	1317	122
915	1318	120
916	1319	119
917	1321	118
918	1322	116
919	1324	115
920	1325	113
921	1327	112
922	1328	110
923	1330	109
924	1332	108
925	1333	106
926	1335	105
927	1336	103
928	1338	102
929	1340	100
930	1341	99
931	1343	98
932	1344	96
933	1346	95
934	1348	93
935	1349	92
936	1351	90
937	1352	89
938	1354	87
939	1355	86
940	1357	85
941	1358	83
942	1359	82
943	1361	80
944	1362	79
945	1364	77
946	1365	76
947	1367	74
948	1368	73
949	1369	72
950	1371	70
951	1372	69
952	1373	67
953	1375	66
954	1376	64
955	1378	63
956	1379	61
957	1381	60
958	1382	59
959	1383	57
960	1385	56
961	1386	54
962	1388	53
963	1389	51
964	1390	50
965	1391	48
966	1393	47
967	1394	46
968	1396	44
969	1397	43
970	1398	41
971	1400	40
972	1401	38
973	1403	37
974	1404	36
975	1406	34
976	1407	33
977	1409	31
978	1410	30
979	1411	28
980	1413	27
981	1414	25
982	1416	24
983	1417	23
984	1418	21
985	1420	20
986	1421	18
987	1423	17
988	1424	15
989	1426	14
990	1427	12
991	1429	11
992	1430	10
993	1432	8
994	1434	7
995	1435	5
996	1437	4
997	1438	2
998	1439	1
999	1441	0
